taxonID	description	type	language
alien-mollusca-checklist:taxon:4f18c8c544a69fbb5d3b351aee6bd8c8	New Zealand	native range	en
alien-mollusca-checklist:taxon:4f18c8c544a69fbb5d3b351aee6bd8c8	Australia	native range	en
alien-mollusca-checklist:taxon:4f18c8c544a69fbb5d3b351aee6bd8c8	cbd_2014_pathway:contaminant_on_plants	pathway	en
alien-mollusca-checklist:taxon:4f18c8c544a69fbb5d3b351aee6bd8c8	cbd_2014_pathway:contaminant_habitat_material	pathway	en
alien-mollusca-checklist:taxon:4f18c8c544a69fbb5d3b351aee6bd8c8	blackburn_et_al_2011:E	degree of establishment	en
alien-mollusca-checklist:taxon:691d816e96b0f17eb16385bf9ecf03ad	southern Europe	native range	en
alien-mollusca-checklist:taxon:691d816e96b0f17eb16385bf9ecf03ad	central Europe	native range	en
alien-mollusca-checklist:taxon:691d816e96b0f17eb16385bf9ecf03ad	southeastern Europe	native range	en
alien-mollusca-checklist:taxon:691d816e96b0f17eb16385bf9ecf03ad	central Turkey	native range	en
alien-mollusca-checklist:taxon:691d816e96b0f17eb16385bf9ecf03ad	blackburn_et_al_2011:C0	degree of establishment	en
alien-mollusca-checklist:taxon:6d29214a267467f07437d66a1cdfbcc3	North America	native range	en
alien-mollusca-checklist:taxon:6d29214a267467f07437d66a1cdfbcc3	cbd_2014_pathway:contaminant_on_plants	pathway	en
alien-mollusca-checklist:taxon:6d29214a267467f07437d66a1cdfbcc3	cbd_2014_pathway:contaminant_habitat_material	pathway	en
alien-mollusca-checklist:taxon:6d29214a267467f07437d66a1cdfbcc3	blackburn_et_al_2011:B2	degree of establishment	en
alien-mollusca-checklist:taxon:701157f0c3a45dbe4d3d191963c7cf23	northern coastal areas of the western Mediterranean	native range	en
alien-mollusca-checklist:taxon:701157f0c3a45dbe4d3d191963c7cf23	cbd_2014_pathway:stowaway_people_luggage	pathway	en
alien-mollusca-checklist:taxon:701157f0c3a45dbe4d3d191963c7cf23	cbd_2014_pathway:stowaway_vehicles	pathway	en
alien-mollusca-checklist:taxon:701157f0c3a45dbe4d3d191963c7cf23	blackburn_et_al_2011:C3	degree of establishment	en
alien-mollusca-checklist:taxon:7ecbd23986aa59aefd50154ef9f4fd1e	Iberian Peninsula	native range	en
alien-mollusca-checklist:taxon:7ecbd23986aa59aefd50154ef9f4fd1e	cbd_2014_pathway:contaminant_on_plants	pathway	en
alien-mollusca-checklist:taxon:7ecbd23986aa59aefd50154ef9f4fd1e	cbd_2014_pathway:contaminant_habitat_material	pathway	en
alien-mollusca-checklist:taxon:7ecbd23986aa59aefd50154ef9f4fd1e	cbd_2014_pathway:unaided	pathway	en
alien-mollusca-checklist:taxon:7ecbd23986aa59aefd50154ef9f4fd1e	blackburn_et_al_2011:E	degree of establishment	en
alien-mollusca-checklist:taxon:81d4efabef9ab3e384dfe016ee69d01f	eastern Africa	native range	en
alien-mollusca-checklist:taxon:81d4efabef9ab3e384dfe016ee69d01f	cbd_2014_pathway:contaminant_on_plants	pathway	en
alien-mollusca-checklist:taxon:81d4efabef9ab3e384dfe016ee69d01f	cbd_2014_pathway:contaminant_habitat_material	pathway	en
alien-mollusca-checklist:taxon:81d4efabef9ab3e384dfe016ee69d01f	blackburn_et_al_2011:B2	degree of establishment	en
alien-mollusca-checklist:taxon:975a02ad362135b36d24c691aa7a83d9	Carpathians	native range	en
alien-mollusca-checklist:taxon:975a02ad362135b36d24c691aa7a83d9	southern Alps	native range	en
alien-mollusca-checklist:taxon:975a02ad362135b36d24c691aa7a83d9	southeastern Alps	native range	en
alien-mollusca-checklist:taxon:975a02ad362135b36d24c691aa7a83d9	northern Balkan	native range	en
alien-mollusca-checklist:taxon:975a02ad362135b36d24c691aa7a83d9	cbd_2014_pathway:contaminant_on_plants	pathway	en
alien-mollusca-checklist:taxon:975a02ad362135b36d24c691aa7a83d9	cbd_2014_pathway:contaminant_habitat_material	pathway	en
alien-mollusca-checklist:taxon:975a02ad362135b36d24c691aa7a83d9	blackburn_et_al_2011:E	degree of establishment	en
alien-mollusca-checklist:taxon:990a911308ec72c8725e3c3d76486de2	western Mediterranean region	native range	en
alien-mollusca-checklist:taxon:990a911308ec72c8725e3c3d76486de2	cbd_2014_pathway:contaminant_on_plants	pathway	en
alien-mollusca-checklist:taxon:990a911308ec72c8725e3c3d76486de2	cbd_2014_pathway:stowaway	pathway	en
alien-mollusca-checklist:taxon:990a911308ec72c8725e3c3d76486de2	blackburn_et_al_2011:C0	degree of establishment	en
alien-mollusca-checklist:taxon:a4f4c57a54f834761b99b164aeb118b8	unclear	native range	en
alien-mollusca-checklist:taxon:a4f4c57a54f834761b99b164aeb118b8	cbd_2014_pathway:contaminant_on_plants	pathway	en
alien-mollusca-checklist:taxon:a4f4c57a54f834761b99b164aeb118b8	cbd_2014_pathway:contaminant_habitat_material	pathway	en
alien-mollusca-checklist:taxon:a4f4c57a54f834761b99b164aeb118b8	cbd_2014_pathway:unaided	pathway	en
alien-mollusca-checklist:taxon:a4f4c57a54f834761b99b164aeb118b8	blackburn_et_al_2011:E	degree of establishment	en
alien-mollusca-checklist:taxon:b58a4fbf2481e23e725bc4100b953cc8	unclear	native range	en
alien-mollusca-checklist:taxon:b58a4fbf2481e23e725bc4100b953cc8	blackburn_et_al_2011:B3	degree of establishment	en
alien-mollusca-checklist:taxon:c5ebd7e74169e1df778d09719475277f	Italy	native range	en
alien-mollusca-checklist:taxon:c5ebd7e74169e1df778d09719475277f	coastal areas of the western Balkan	native range	en
alien-mollusca-checklist:taxon:c5ebd7e74169e1df778d09719475277f	cbd_2014_pathway:stowaway_people_luggage	pathway	en
alien-mollusca-checklist:taxon:c5ebd7e74169e1df778d09719475277f	cbd_2014_pathway:stowaway_vehicles	pathway	en
alien-mollusca-checklist:taxon:c5ebd7e74169e1df778d09719475277f	blackburn_et_al_2011:E	degree of establishment	en
alien-mollusca-checklist:taxon:cb51ce8d7440a98fd5847634375aac26	tropical western Africa	native range	en
alien-mollusca-checklist:taxon:cb51ce8d7440a98fd5847634375aac26	cbd_2014_pathway:contaminant_on_plants	pathway	en
alien-mollusca-checklist:taxon:cb51ce8d7440a98fd5847634375aac26	cbd_2014_pathway:contaminant_habitat_material	pathway	en
alien-mollusca-checklist:taxon:cb51ce8d7440a98fd5847634375aac26	blackburn_et_al_2011:E	degree of establishment	en
alien-mollusca-checklist:taxon:d12eaa6884b549d249857519fca4a376	southeastern Europe	native range	en
alien-mollusca-checklist:taxon:d12eaa6884b549d249857519fca4a376	central Europe	native range	en
alien-mollusca-checklist:taxon:d12eaa6884b549d249857519fca4a376	Balkan	native range	en
alien-mollusca-checklist:taxon:d12eaa6884b549d249857519fca4a376	blackburn_et_al_2011:C0	degree of establishment	en
alien-mollusca-checklist:taxon:d35bb708ec0c0b005948aff00d416a30	Caucasus region	native range	en
alien-mollusca-checklist:taxon:d35bb708ec0c0b005948aff00d416a30	cbd_2014_pathway:contaminant_on_plants	pathway	en
alien-mollusca-checklist:taxon:d35bb708ec0c0b005948aff00d416a30	cbd_2014_pathway:contaminant_habitat_material	pathway	en
alien-mollusca-checklist:taxon:d35bb708ec0c0b005948aff00d416a30	cbd_2014_pathway:unaided	pathway	en
alien-mollusca-checklist:taxon:d35bb708ec0c0b005948aff00d416a30	blackburn_et_al_2011:E	degree of establishment	en
alien-mollusca-checklist:taxon:d3ea1d539ec9fcf46383a2b1d9886e54	North America	native range	en
alien-mollusca-checklist:taxon:d3ea1d539ec9fcf46383a2b1d9886e54	cbd_2014_pathway:contaminant_on_plants	pathway	en
alien-mollusca-checklist:taxon:d3ea1d539ec9fcf46383a2b1d9886e54	cbd_2014_pathway:contaminant_habitat_material	pathway	en
alien-mollusca-checklist:taxon:d3ea1d539ec9fcf46383a2b1d9886e54	blackburn_et_al_2011:B2	degree of establishment	en
alien-mollusca-checklist:taxon:efc32aa8cb6f49901941f3c96ec75e78	southern France	native range	en
alien-mollusca-checklist:taxon:efc32aa8cb6f49901941f3c96ec75e78	cbd_2014_pathway:stowaway	pathway	en
alien-mollusca-checklist:taxon:efc32aa8cb6f49901941f3c96ec75e78	blackburn_et_al_2011:C3	degree of establishment	en
alien-mollusca-checklist:taxon:f2ef505870d28353c0af74488e4f63d3	southern Europe	native range	en
alien-mollusca-checklist:taxon:f2ef505870d28353c0af74488e4f63d3	western Mediterranean	native range	en
alien-mollusca-checklist:taxon:f2ef505870d28353c0af74488e4f63d3	cbd_2014_pathway:contaminant_on_plants	pathway	en
alien-mollusca-checklist:taxon:f2ef505870d28353c0af74488e4f63d3	cbd_2014_pathway:contaminant_habitat_material	pathway	en
alien-mollusca-checklist:taxon:f2ef505870d28353c0af74488e4f63d3	blackburn_et_al_2011:C0	degree of establishment	en
alien-mollusca-checklist:taxon:f495dc25a44c6c3a0a310e23e15f71d5	southeastern France	native range	en
alien-mollusca-checklist:taxon:f495dc25a44c6c3a0a310e23e15f71d5	Italy	native range	en
alien-mollusca-checklist:taxon:f495dc25a44c6c3a0a310e23e15f71d5	Slovenia	native range	en
alien-mollusca-checklist:taxon:f495dc25a44c6c3a0a310e23e15f71d5	northwestern Croatia	native range	en
alien-mollusca-checklist:taxon:f495dc25a44c6c3a0a310e23e15f71d5	cbd_2014_pathway:stowaway	pathway	en
alien-mollusca-checklist:taxon:f495dc25a44c6c3a0a310e23e15f71d5	cbd_2014_pathway:unaided	pathway	en
alien-mollusca-checklist:taxon:f495dc25a44c6c3a0a310e23e15f71d5	cbd_2014_pathway:contaminant_on_plants	pathway	en
alien-mollusca-checklist:taxon:f495dc25a44c6c3a0a310e23e15f71d5	blackburn_et_al_2011:E	degree of establishment	en
alien-mollusca-checklist:taxon:f69a72778a63eaf4bc975b7683fc8cab	southern France	native range	en
alien-mollusca-checklist:taxon:f69a72778a63eaf4bc975b7683fc8cab	Spain	native range	en
alien-mollusca-checklist:taxon:f69a72778a63eaf4bc975b7683fc8cab	northwestern Italy	native range	en
alien-mollusca-checklist:taxon:f69a72778a63eaf4bc975b7683fc8cab	Corsica	native range	en
alien-mollusca-checklist:taxon:f69a72778a63eaf4bc975b7683fc8cab	Sardinia	native range	en
alien-mollusca-checklist:taxon:f69a72778a63eaf4bc975b7683fc8cab	Balearic Islands	native range	en
alien-mollusca-checklist:taxon:f69a72778a63eaf4bc975b7683fc8cab	Tunisia	native range	en
alien-mollusca-checklist:taxon:f69a72778a63eaf4bc975b7683fc8cab	Algeria	native range	en
alien-mollusca-checklist:taxon:f69a72778a63eaf4bc975b7683fc8cab	Morocco	native range	en
alien-mollusca-checklist:taxon:f69a72778a63eaf4bc975b7683fc8cab	blackburn_et_al_2011:C0	degree of establishment	en
