taxonID	vernacularName	language
alien-mollusca-checklist:taxon:0ab6daf4ae91b34b92171a41587f0fa7	Dune snail	en
alien-mollusca-checklist:taxon:0ab6daf4ae91b34b92171a41587f0fa7	Rotmündige Heideschnecke	de
alien-mollusca-checklist:taxon:02eac5f78d2af0f96a73471ee72461ec	Bolle duinslak	nl
alien-mollusca-checklist:taxon:02eac5f78d2af0f96a73471ee72461ec	Caragouille globuleuse	fr
alien-mollusca-checklist:taxon:02eac5f78d2af0f96a73471ee72461ec	Banded snail	en
alien-mollusca-checklist:taxon:02eac5f78d2af0f96a73471ee72461ec	Striped snail	en
alien-mollusca-checklist:taxon:02eac5f78d2af0f96a73471ee72461ec	Zoned snail	en
alien-mollusca-checklist:taxon:02eac5f78d2af0f96a73471ee72461ec	Maritime gardensnail	en
alien-mollusca-checklist:taxon:02eac5f78d2af0f96a73471ee72461ec	Mittelmeer-Heideschnecke	de
alien-mollusca-checklist:taxon:02eac5f78d2af0f96a73471ee72461ec	Sandheideschnecke	de
alien-mollusca-checklist:taxon:31bfed6d48cc5308c53149150572d92f	Slanke duinhoren	nl
alien-mollusca-checklist:taxon:31bfed6d48cc5308c53149150572d92f	Cornet étroit	fr
alien-mollusca-checklist:taxon:31bfed6d48cc5308c53149150572d92f	Pointed snail	en
alien-mollusca-checklist:taxon:31bfed6d48cc5308c53149150572d92f	Schlanke Spitzschnecke	de
alien-mollusca-checklist:taxon:701157f0c3a45dbe4d3d191963c7cf23	Bolle duinhoren	nl
alien-mollusca-checklist:taxon:701157f0c3a45dbe4d3d191963c7cf23	Cornet méditerranéen	fr
alien-mollusca-checklist:taxon:701157f0c3a45dbe4d3d191963c7cf23	Potbellied helicellid	en
alien-mollusca-checklist:taxon:701157f0c3a45dbe4d3d191963c7cf23	Mittlere Spitzschnecke	de
alien-mollusca-checklist:taxon:353c0266dc7029202c18efb638310977	Cochlostome commun	fr
alien-mollusca-checklist:taxon:353c0266dc7029202c18efb638310977	Kleine Walddeckelschnecke	de
alien-mollusca-checklist:taxon:cb51ce8d7440a98fd5847634375aac26	Zuidelijke akkerslak	nl
alien-mollusca-checklist:taxon:cb51ce8d7440a98fd5847634375aac26	Loche maltaise	fr
alien-mollusca-checklist:taxon:cb51ce8d7440a98fd5847634375aac26	Tramp slug	en
alien-mollusca-checklist:taxon:cb51ce8d7440a98fd5847634375aac26	longneck field slug	en
alien-mollusca-checklist:taxon:cb51ce8d7440a98fd5847634375aac26	brown field slug	en
alien-mollusca-checklist:taxon:cb51ce8d7440a98fd5847634375aac26	Caruana's slug	en
alien-mollusca-checklist:taxon:cb51ce8d7440a98fd5847634375aac26	Sicilian slug	en
alien-mollusca-checklist:taxon:cb51ce8d7440a98fd5847634375aac26	Mittelmeer-Ackerschnecke	de
alien-mollusca-checklist:taxon:990a911308ec72c8725e3c3d76486de2	Brillante méditerranéenne	fr
alien-mollusca-checklist:taxon:990a911308ec72c8725e3c3d76486de2	Hülsenschnecke	de
alien-mollusca-checklist:taxon:15cecbd918aaca69abacd3ea6743b250	Escargotin montagnard	fr
