language,license,rightsHolder,datasetID,institutionCode,datasetName,taxonID,acceptedNameUsageID,originalNameUsageID,scientificName,acceptedNameUsage,originalNameUsage,kingdom,phylum,class,order,family,genus,nomenclaturalCode,taxonomicStatus
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:701157f0c3a45dbe4d3d191963c7cf23,alien-mollusca-checklist:taxon:701157f0c3a45dbe4d3d191963c7cf23,alien-mollusca-checklist:taxon:a29a993f930d37ddc72f4915a3226195,"Cochlicella barbara (Linnaeus, 1758)","Cochlicella barbara (Linnaeus, 1758)","Helix barbara Linnaeus, 1758",Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Geomitridae C.R. Boettger, 1909","Cochlicella A. Férussac, 1821",ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:353c0266dc7029202c18efb638310977,alien-mollusca-checklist:taxon:353c0266dc7029202c18efb638310977,alien-mollusca-checklist:taxon:9a97672f3156e21acf23d558692fbf4e,"Cochlostoma septemspirale (Razoumowsky, 1789)","Cochlostoma septemspirale (Razoumowsky, 1789)","Helix septemspiralis Razoumowsky, 1789",Animalia,Mollusca,"Gastropoda Cuvier, 1795","Architaenioglossa Haller, 1890","Megalostomatidae W.T. Blanford, 1864","Cochlostoma Jan, 1830",ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:cb51ce8d7440a98fd5847634375aac26,alien-mollusca-checklist:taxon:cb51ce8d7440a98fd5847634375aac26,,"Deroceras invadens Reise, Hutchinson, Schunack & Schlitt, 2011","Deroceras invadens Reise, Hutchinson, Schunack & Schlitt, 2011",,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Agriolimacidae H. Wagner, 1935","Deroceras Rafinesque, 1820",ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:990a911308ec72c8725e3c3d76486de2,alien-mollusca-checklist:taxon:990a911308ec72c8725e3c3d76486de2,alien-mollusca-checklist:taxon:b3725781d353b8b986735b4672dba0f1,"Ferussacia folliculum (Schröter, 1784)","Ferussacia folliculum (Schröter, 1784)","Helix folliculum Schröter, 1784",Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Ferussaciidae Bourguignat, 1883","Ferussacia Risso, 1826",ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:15cecbd918aaca69abacd3ea6743b250,alien-mollusca-checklist:taxon:15cecbd918aaca69abacd3ea6743b250,alien-mollusca-checklist:taxon:7f6a08c4dd50404d1fb8902e21064e87,"Gittenbergia sororcula (Benoit, 1859)","Gittenbergia sororcula (Benoit, 1859)","Helix sororcula Benoit, 1859",Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Valloniidae Morse, 1864","Gittenbergia Giusti, Castagnolo & Manganelli, 1985",ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:d12eaa6884b549d249857519fca4a376,alien-mollusca-checklist:taxon:d12eaa6884b549d249857519fca4a376,,"Granaria frumentum (Draparnaud, 1801)","Granaria frumentum (Draparnaud, 1801)",,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Chondrinidae Steenberg, 1925","Granaria Held, 1838",ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:d3ea1d539ec9fcf46383a2b1d9886e54,alien-mollusca-checklist:taxon:d3ea1d539ec9fcf46383a2b1d9886e54,,"Hawaiia minuscula (Binney, 1841)","Hawaiia minuscula (Binney, 1841)",,Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Pristilomatidae T. Cockerell, 1891","Hawaiia Gude, 1911",ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:f495dc25a44c6c3a0a310e23e15f71d5,alien-mollusca-checklist:taxon:f495dc25a44c6c3a0a310e23e15f71d5,alien-mollusca-checklist:taxon:4b541125e0225de0dcd7b3860329b5ec,"Hygromia cinctella (Draparnaud, 1801)","Hygromia cinctella (Draparnaud, 1801)","Helix cinctella Draparnaud, 1801",Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Hygromiidae Tryon, 1866","Hygromia Risso, 1826",ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:1960a04b83f2f90a2de8f9c955575049,alien-mollusca-checklist:taxon:1960a04b83f2f90a2de8f9c955575049,alien-mollusca-checklist:taxon:978f0e7844558d749556f4e2a645b165,"Massylaea vermiculata (O.F. Müller, 1774)","Massylaea vermiculata (O.F. Müller, 1774)","Helix vermiculata O.F. Müller, 1774",Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Helicidae Rafinesque, 1815","Massylaea Möllendorff, 1898",ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,Royal Belgian Institute of Natural Sciences,"",RBINS,Registry of introduced terrestrial molluscs in Belgium,alien-mollusca-checklist:taxon:4f18c8c544a69fbb5d3b351aee6bd8c8,alien-mollusca-checklist:taxon:4f18c8c544a69fbb5d3b351aee6bd8c8,alien-mollusca-checklist:taxon:7188770074efc3da2af4d1f4938a490b,"Paralaoma servilis (Shuttleworth, 1852)","Paralaoma servilis (Shuttleworth, 1852)","Helix servilis Shuttleworth, 1852",Animalia,Mollusca,"Gastropoda Cuvier, 1795","Stylommatophora A. Schmidt, 1855","Punctidae Morse, 1864","Paralaoma Iredale, 1913",ICZN,accepted
