taxonID	identifier	bibliographicCitation
alien-mollusca-checklist:taxon:06528ea561737233003ecad5dab869a5	Verhaeghe (1947)	Verhaeghe, R. 1947. Examen malacologique dans la région de La Panne. – Les Naturalistes Belges 28: 18-20.
alien-mollusca-checklist:taxon:f69a72778a63eaf4bc975b7683fc8cab	Van Goethem et al. (1979)	Van Goethem, J.L., Muylaert, A. & Tavernier, W. 1979. Trochoidea elegans (Gmelin, 1790), een nieuwe soort landslak voor de Belgische fauna (Mollusca, Gastropoda, Helicidae). – Biologisch Jaarboek Dodonaea 47: 140-144.
alien-mollusca-checklist:taxon:efc32aa8cb6f49901941f3c96ec75e78	Adam (1937)	Adam, W. 1937. Notes sur les gastéropodes. V. – Sur la découverte de Cochlostoma septemspirale (Razoumowsky, 1789) et Helicella cespitum (Draparnaud, 1801) en Belgique. – Mededeelingen van het Koninklijk Natuurhistorisch Museum van België 13(11): 1-4.
alien-mollusca-checklist:taxon:efc32aa8cb6f49901941f3c96ec75e78	Adam (1943)	Adam, W. 1943. Notes sur les gastéropodes. XIII. – Sur quelques espèces nouvelles ou rares pour la Belgique. – Mededeelingen van het Koninklijk Natuurhistorisch Museum van België 19(11): 1-16.
alien-mollusca-checklist:taxon:efc32aa8cb6f49901941f3c96ec75e78	Adam (1947a)	Adam, W. 1947a. Notes sur les gastéropodes. XV. – Recherches sur la faune malacologique des dunes littorales de la Belgique. – Mededeelingen van het Koninklijk Natuurhistorisch Museum van België 23(27): 1-27.
alien-mollusca-checklist:taxon:efc32aa8cb6f49901941f3c96ec75e78	Adam (1960a)	Adam, W. 1960a. Faune de Belgique. Mollusques. Tome I. Mollusques terrestres et dulcicoles. – Brussels, Patrimoine de l'Institut Royal des Sciences Naturelles de Belgique, 402 pp.
alien-mollusca-checklist:taxon:efc32aa8cb6f49901941f3c96ec75e78	Clerx & Gittenberger (1977)	Clerx, J.P.M. & Gittenberger, E. 1977. Einiges über Cernuella (Pulmonata, Helicidae) – Zoölogische Mededelingen, Leiden, 52: 27-56.
alien-mollusca-checklist:taxon:efc32aa8cb6f49901941f3c96ec75e78	Marquet (1985)	Marquet, R. 1985. The land molluscs of the Antwerp harbour area, with a new record of Cernuella cespitum (Draparnaud, 1801) for western Europe. – Basteria 49: 3-10.
alien-mollusca-checklist:taxon:efc32aa8cb6f49901941f3c96ec75e78	Van Goethem (1988)	Van Goethem, J.L. 1988. Nouvelle liste commentée des mollusques récents non-marins de Belgique. – Documents de travail de l'IRScNB 53: 1-69.
alien-mollusca-checklist:taxon:691d816e96b0f17eb16385bf9ecf03ad	Anonymous (1864b)	Anonymous 1864b. Séance du 3 juillet 1864. – Bulletins de la Société Malacologique de Belgique 1: LXI-LXII.
alien-mollusca-checklist:taxon:691d816e96b0f17eb16385bf9ecf03ad	Colbeau (1865)	Colbeau, J. 1865. Excursions et découvertes malacologiques faites en quelques localités de la Belgique pendant les années 1860-1865. – Annales de la Société Malacologique de Belgique 1: 23-120.
alien-mollusca-checklist:taxon:691d816e96b0f17eb16385bf9ecf03ad	De Malzine (1867)	De Malzine, F. 1867. Essai sur la fauna malacologique de Belgique ou catalogue des mollusques qui se trouvent dans ce pays. – Bruxelles, Librairie Ancienne de G.-A. Van Trigt.
alien-mollusca-checklist:taxon:691d816e96b0f17eb16385bf9ecf03ad	Kickx (1830)	Kickx, J. 1830. Synopsis molluscorum Brabantiae. – Lovanii.
alien-mollusca-checklist:taxon:6d29214a267467f07437d66a1cdfbcc3	Keppens & Dhondt (2007)	Keppens, M. & Dhondt, K. 2007. De malacofauna van de tropische Victoriakas van de plantentuin van de universiteit Gent (België). – Gloria Maris 46: 29-40.
alien-mollusca-checklist:taxon:6d29214a267467f07437d66a1cdfbcc3	Moens (1979)	Moens, R. 1979. Le problème des limaces dans la protection des végétaux. – Agricontact 95: 1-6.
alien-mollusca-checklist:taxon:6d29214a267467f07437d66a1cdfbcc3	Moens (1980)	Moens, R. 1980. Le problème des limaces dans la protection des végétaux. – Revue de l'Agriculture 33: 117-132.
alien-mollusca-checklist:taxon:6d29214a267467f07437d66a1cdfbcc3	Van Goethem (1984a)	Van Goethem, J.L. 1984a. Lijst van de recente niet-mariene mollusken van België. – Studiedocumenten van het KBIN 16: 1-35.
alien-mollusca-checklist:taxon:6d29214a267467f07437d66a1cdfbcc3	Van Goethem (1984b)	Van Goethem, J.L. 1984b. Liste commentée des mollusques récents non-marins de Belgique. – Documents de travail de 1'IRScNB 17: 1-38.
alien-mollusca-checklist:taxon:6d29214a267467f07437d66a1cdfbcc3	Van Goethem (1987)	Van Goethem, J.L. 1987. Nieuwe naamlijst met aantekeningen van de recente niet-mariene weekdieren van België. – Studiedocumenten van het KBIN 44: 1-65.
alien-mollusca-checklist:taxon:6d29214a267467f07437d66a1cdfbcc3	Van Goethem (1988)	Van Goethem, J.L. 1988. Nouvelle liste commentée des mollusques récents non-marins de Belgique. – Documents de travail de l'IRScNB 53: 1-69.
