language	license	rightsHolder	datasetID	institutionCode	datasetName	taxonID	acceptedNameUsageID	scientificName	acceptedNameUsage	kingdom	phylum	class	order	family	genus	taxonRank	nomenclaturalCode	taxonomicStatus	taxonRemarks
en	http://creativecommons.org/publicdomain/zero/1.0/	Royal Belgian Institute of Natural Sciences	https://doi.org/10.15468/t13kwo	RBINS	Registry of introduced terrestrial molluscs in Belgium	alien-mollusca-checklist:taxon:701157f0c3a45dbe4d3d191963c7cf23	alien-mollusca-checklist:taxon:701157f0c3a45dbe4d3d191963c7cf23	Cochlicella barbara (Linnaeus, 1758)	Cochlicella barbara (Linnaeus, 1758)	Animalia	Mollusca	Gastropoda Cuvier, 1795	Stylommatophora A. Schmidt, 1855	Geomitridae C.R. Boettger, 1909	Cochlicella A. Férussac, 1821	species	ICZN	accepted	Well-defined species. In older Belgian literature it has sometimes been confused with Cochlicella acuta (O.F. Müller, 1774).
en	http://creativecommons.org/publicdomain/zero/1.0/	Royal Belgian Institute of Natural Sciences	https://doi.org/10.15468/t13kwo	RBINS	Registry of introduced terrestrial molluscs in Belgium	alien-mollusca-checklist:taxon:353c0266dc7029202c18efb638310977	alien-mollusca-checklist:taxon:353c0266dc7029202c18efb638310977	Cochlostoma septemspirale (Razoumowsky, 1789)	Cochlostoma septemspirale (Razoumowsky, 1789)	Animalia	Mollusca	Gastropoda Cuvier, 1795	Architaenioglossa Haller, 1890	Megalostomatidae W.T. Blanford, 1864	Cochlostoma Jan, 1830	species	ICZN	accepted	Well-defined species.
en	http://creativecommons.org/publicdomain/zero/1.0/	Royal Belgian Institute of Natural Sciences	https://doi.org/10.15468/t13kwo	RBINS	Registry of introduced terrestrial molluscs in Belgium	alien-mollusca-checklist:taxon:cb51ce8d7440a98fd5847634375aac26	alien-mollusca-checklist:taxon:cb51ce8d7440a98fd5847634375aac26	Deroceras invadens Reise, Hutchinson, Schunack & Schlitt, 2011	Deroceras invadens Reise, Hutchinson, Schunack & Schlitt, 2011	Animalia	Mollusca	Gastropoda Cuvier, 1795	Stylommatophora A. Schmidt, 1855	Agriolimacidae H. Wagner, 1935	Deroceras Rafinesque, 1820	species	ICZN	accepted	Well-defined species. The species has long time been confused with Deroceras panormitanum and Deroceras caruanae. For an indepth background on this see Reise et al. (2011) and Hutchinson et al. (2014)
en	http://creativecommons.org/publicdomain/zero/1.0/	Royal Belgian Institute of Natural Sciences	https://doi.org/10.15468/t13kwo	RBINS	Registry of introduced terrestrial molluscs in Belgium	alien-mollusca-checklist:taxon:990a911308ec72c8725e3c3d76486de2	alien-mollusca-checklist:taxon:990a911308ec72c8725e3c3d76486de2	Ferussacia folliculum (Schröter, 1784)	Ferussacia folliculum (Schröter, 1784)	Animalia	Mollusca	Gastropoda Cuvier, 1795	Stylommatophora A. Schmidt, 1855	Ferussaciidae Bourguignat, 1883	Ferussacia Risso, 1826	species	ICZN	accepted	Well-defined species. The spelling of the species name is still unsettled and confusing. It is not the place here to discuss this nomenclatural issue in detail. Yet, assuming that Schröter's (1784) book complies with the requirements imposed by the ICZN (e.g. application of binomial nomenclature), we follow Welter-Schultes (2012) and Bank (2016) by using “Ferussacia folliculum (Schröter, 1784)”, even if the more recent checklists of Bank & Neubert (2017) and the Fauna Europaea on-line database (https://fauna-eu.org/cdm_dataportal/taxon/8cccd942-28c8-4677-8403-95e990353f0c; accessed on 7 August 2018) cite this species as “Ferussacia folliculus (Schröter, 1784)” and “Ferussacia folliculus (Gmelin, 1791)” respectively. Yet, the on-line version of Bank & Neubert (2017) at MolluscaBase cites “Ferussacia folliculum (Schröter, 1784)” as accepted name, but with the same spelling as “accepted, alternate representation” (http://www.molluscabase.org/aphia.php?p=taxdetails&id=580515; accessed on 8 August 2018).
en	http://creativecommons.org/publicdomain/zero/1.0/	Royal Belgian Institute of Natural Sciences	https://doi.org/10.15468/t13kwo	RBINS	Registry of introduced terrestrial molluscs in Belgium	alien-mollusca-checklist:taxon:15cecbd918aaca69abacd3ea6743b250	alien-mollusca-checklist:taxon:15cecbd918aaca69abacd3ea6743b250	Gittenbergia sororcula (Benoit, 1859)	Gittenbergia sororcula (Benoit, 1859)	Animalia	Mollusca	Gastropoda Cuvier, 1795	Stylommatophora A. Schmidt, 1855	Valloniidae Morse, 1864	Gittenbergia Giusti, Castagnolo & Manganelli, 1985	species	ICZN	accepted	Well-defined species.
en	http://creativecommons.org/publicdomain/zero/1.0/	Royal Belgian Institute of Natural Sciences	https://doi.org/10.15468/t13kwo	RBINS	Registry of introduced terrestrial molluscs in Belgium	alien-mollusca-checklist:taxon:d12eaa6884b549d249857519fca4a376	alien-mollusca-checklist:taxon:d12eaa6884b549d249857519fca4a376	Granaria frumentum (Draparnaud, 1801)	Granaria frumentum (Draparnaud, 1801)	Animalia	Mollusca	Gastropoda Cuvier, 1795	Stylommatophora A. Schmidt, 1855	Chondrinidae Steenberg, 1925	Granaria Held, 1838	species	ICZN	accepted	A species with several subspecies whose taxonomic interpretation is not entirely clear. The Belgian material is supposed to belong to the subspecies illyrica Rossmässler, 1835, which sometimes is considered as separate species (Falkner et al. 2002).
en	http://creativecommons.org/publicdomain/zero/1.0/	Royal Belgian Institute of Natural Sciences	https://doi.org/10.15468/t13kwo	RBINS	Registry of introduced terrestrial molluscs in Belgium	alien-mollusca-checklist:taxon:d3ea1d539ec9fcf46383a2b1d9886e54	alien-mollusca-checklist:taxon:d3ea1d539ec9fcf46383a2b1d9886e54	Hawaiia minuscula (Binney, 1841)	Hawaiia minuscula (Binney, 1841)	Animalia	Mollusca	Gastropoda Cuvier, 1795	Stylommatophora A. Schmidt, 1855	Pristilomatidae T. Cockerell, 1891	Hawaiia Gude, 1911	species	ICZN	accepted	Well-defined species.
en	http://creativecommons.org/publicdomain/zero/1.0/	Royal Belgian Institute of Natural Sciences	https://doi.org/10.15468/t13kwo	RBINS	Registry of introduced terrestrial molluscs in Belgium	alien-mollusca-checklist:taxon:f495dc25a44c6c3a0a310e23e15f71d5	alien-mollusca-checklist:taxon:f495dc25a44c6c3a0a310e23e15f71d5	Hygromia cinctella (Draparnaud, 1801)	Hygromia cinctella (Draparnaud, 1801)	Animalia	Mollusca	Gastropoda Cuvier, 1795	Stylommatophora A. Schmidt, 1855	Hygromiidae Tryon, 1866	Hygromia Risso, 1826	species	ICZN	accepted	Well-defined species.
en	http://creativecommons.org/publicdomain/zero/1.0/	Royal Belgian Institute of Natural Sciences	https://doi.org/10.15468/t13kwo	RBINS	Registry of introduced terrestrial molluscs in Belgium	alien-mollusca-checklist:taxon:1960a04b83f2f90a2de8f9c955575049	alien-mollusca-checklist:taxon:1960a04b83f2f90a2de8f9c955575049	Massylaea vermiculata (O.F. Müller, 1774)	Massylaea vermiculata (O.F. Müller, 1774)	Animalia	Mollusca	Gastropoda Cuvier, 1795	Stylommatophora A. Schmidt, 1855	Helicidae Rafinesque, 1815	Massylaea Möllendorff, 1898	species	ICZN	accepted	Well-defined species. Until recently the species was known as Eobania vermiculata, but Bouaziz-Yahiatene et al. (2017) have shown that Eobania P. Hesse, 1913 is a junior synonym of Massylaea Möllendorff, 1898.
en	http://creativecommons.org/publicdomain/zero/1.0/	Royal Belgian Institute of Natural Sciences	https://doi.org/10.15468/t13kwo	RBINS	Registry of introduced terrestrial molluscs in Belgium	alien-mollusca-checklist:taxon:4f18c8c544a69fbb5d3b351aee6bd8c8	alien-mollusca-checklist:taxon:4f18c8c544a69fbb5d3b351aee6bd8c8	Paralaoma servilis (Shuttleworth, 1852)	Paralaoma servilis (Shuttleworth, 1852)	Animalia	Mollusca	Gastropoda Cuvier, 1795	Stylommatophora A. Schmidt, 1855	Punctidae Morse, 1864	Paralaoma Iredale, 1913	species	ICZN	accepted	Well-defined species.
en	http://creativecommons.org/publicdomain/zero/1.0/	Royal Belgian Institute of Natural Sciences	https://doi.org/10.15468/t13kwo	RBINS	Registry of introduced terrestrial molluscs in Belgium	alien-mollusca-checklist:taxon:2318917247314d7cb642d294b393df34	alien-mollusca-checklist:taxon:2318917247314d7cb642d294b393df34	Striosubulina striatella (Rang, 1831)	Striosubulina striatella (Rang, 1831)	Animalia	Mollusca	Gastropoda Cuvier, 1795	Stylommatophora A. Schmidt, 1855	Subulinidae P. Fischer & Crosse, 1877	Striosubulina Thiele, 1933	species	ICZN	accepted	Well-defined species.
en	http://creativecommons.org/publicdomain/zero/1.0/	Royal Belgian Institute of Natural Sciences	https://doi.org/10.15468/t13kwo	RBINS	Registry of introduced terrestrial molluscs in Belgium	alien-mollusca-checklist:taxon:975a02ad362135b36d24c691aa7a83d9	alien-mollusca-checklist:taxon:975a02ad362135b36d24c691aa7a83d9	Tandonia budapestensis (Hazay, 1880)	Tandonia budapestensis (Hazay, 1880)	Animalia	Mollusca	Gastropoda Cuvier, 1795	Stylommatophora A. Schmidt, 1855	Milacidae Ellis, 1926	Tandonia Lessona & Pollonera, 1882	species	ICZN	accepted	Well-defined species.
en	http://creativecommons.org/publicdomain/zero/1.0/	Royal Belgian Institute of Natural Sciences	https://doi.org/10.15468/t13kwo	RBINS	Registry of introduced terrestrial molluscs in Belgium	alien-mollusca-checklist:taxon:b58a4fbf2481e23e725bc4100b953cc8	alien-mollusca-checklist:taxon:b58a4fbf2481e23e725bc4100b953cc8	Tandonia sowerbyi (A. Férussac, 1823)	Tandonia sowerbyi (A. Férussac, 1823)	Animalia	Mollusca	Gastropoda Cuvier, 1795	Stylommatophora A. Schmidt, 1855	Milacidae Ellis, 1926	Tandonia Lessona & Pollonera, 1882	species	ICZN	accepted	Well-defined species. In Belgium it has often been confused with Tandonia budapestensis.
en	http://creativecommons.org/publicdomain/zero/1.0/	Royal Belgian Institute of Natural Sciences	https://doi.org/10.15468/t13kwo	RBINS	Registry of introduced terrestrial molluscs in Belgium	alien-mollusca-checklist:taxon:f2ef505870d28353c0af74488e4f63d3	alien-mollusca-checklist:taxon:f2ef505870d28353c0af74488e4f63d3	Testacella haliotidea Draparnaud, 1801	Testacella haliotidea Draparnaud, 1801	Animalia	Mollusca	Gastropoda Cuvier, 1795	Stylommatophora A. Schmidt, 1855	Testacellidae Gray, 1840	Testacella Lamarck, 1801	species	ICZN	accepted	Well-defined species.
en	http://creativecommons.org/publicdomain/zero/1.0/	Royal Belgian Institute of Natural Sciences	https://doi.org/10.15468/t13kwo	RBINS	Registry of introduced terrestrial molluscs in Belgium	alien-mollusca-checklist:taxon:06528ea561737233003ecad5dab869a5	alien-mollusca-checklist:taxon:06528ea561737233003ecad5dab869a5	Theba pisana (O.F. Müller, 1774)	Theba pisana (O.F. Müller, 1774)	Animalia	Mollusca	Gastropoda Cuvier, 1795	Stylommatophora A. Schmidt, 1855	Helicidae Rafinesque, 1815	Theba Risso, 1826	species	ICZN	accepted	Well-defined species.
en	http://creativecommons.org/publicdomain/zero/1.0/	Royal Belgian Institute of Natural Sciences	https://doi.org/10.15468/t13kwo	RBINS	Registry of introduced terrestrial molluscs in Belgium	alien-mollusca-checklist:taxon:f69a72778a63eaf4bc975b7683fc8cab	alien-mollusca-checklist:taxon:f69a72778a63eaf4bc975b7683fc8cab	Trochoidea elegans (Gmelin, 1791)	Trochoidea elegans (Gmelin, 1791)	Animalia	Mollusca	Gastropoda Cuvier, 1795	Stylommatophora A. Schmidt, 1855	Hygromiidae Tryon, 1866	Trochoidea T. Brown, 1827	species	ICZN	accepted	Well-defined species.
en	http://creativecommons.org/publicdomain/zero/1.0/	Royal Belgian Institute of Natural Sciences	https://doi.org/10.15468/t13kwo	RBINS	Registry of introduced terrestrial molluscs in Belgium	alien-mollusca-checklist:taxon:efc32aa8cb6f49901941f3c96ec75e78	alien-mollusca-checklist:taxon:efc32aa8cb6f49901941f3c96ec75e78	Xerosecta cespitum (Draparnaud, 1801)	Xerosecta cespitum (Draparnaud, 1801)	Animalia	Mollusca	Gastropoda Cuvier, 1795	Stylommatophora A. Schmidt, 1855	Geomitridae C.R. Boettger, 1909	Xerosecta Monterosato, 1892	species	ICZN	accepted	Well-defined species.
en	http://creativecommons.org/publicdomain/zero/1.0/	Royal Belgian Institute of Natural Sciences	https://doi.org/10.15468/t13kwo	RBINS	Registry of introduced terrestrial molluscs in Belgium	alien-mollusca-checklist:taxon:691d816e96b0f17eb16385bf9ecf03ad	alien-mollusca-checklist:taxon:691d816e96b0f17eb16385bf9ecf03ad	Zebrina detrita (O.F. Müller, 1774)	Zebrina detrita (O.F. Müller, 1774)	Animalia	Mollusca	Gastropoda Cuvier, 1795	Stylommatophora A. Schmidt, 1855	Enidae B.B. Woodward, 1903	Zebrina Held, 1838	species	ICZN	accepted	Well-defined species.
en	http://creativecommons.org/publicdomain/zero/1.0/	Royal Belgian Institute of Natural Sciences	https://doi.org/10.15468/t13kwo	RBINS	Registry of introduced terrestrial molluscs in Belgium	alien-mollusca-checklist:taxon:6d29214a267467f07437d66a1cdfbcc3	alien-mollusca-checklist:taxon:6d29214a267467f07437d66a1cdfbcc3	Zonitoides arboreus (Say, 1817)	Zonitoides arboreus (Say, 1817)	Animalia	Mollusca	Gastropoda Cuvier, 1795	Stylommatophora A. Schmidt, 1855	Gastrodontidae Tryon, 1866	Zonitoides Lehmann, 1862	species	ICZN	accepted	Well-defined species.
en	http://creativecommons.org/publicdomain/zero/1.0/	Royal Belgian Institute of Natural Sciences	https://doi.org/10.15468/t13kwo	RBINS	Registry of introduced terrestrial molluscs in Belgium	alien-mollusca-checklist:taxon:d14635cebc62259032b0eaf8e8f61803	alien-mollusca-checklist:taxon:81d4efabef9ab3e384dfe016ee69d01f	Bulimus clavulinus Potiez & Michaud, 1835	Allopeas clavulinum (Potiez & Michaud, 1835)	Animalia	Mollusca	Gastropoda Cuvier, 1795	Stylommatophora A. Schmidt, 1855	Subulinidae P. Fischer & Crosse, 1877	Allopeas H. B. Baker, 1935	species	ICZN	heterotypicSynonym	""
en	http://creativecommons.org/publicdomain/zero/1.0/	Royal Belgian Institute of Natural Sciences	https://doi.org/10.15468/t13kwo	RBINS	Registry of introduced terrestrial molluscs in Belgium	alien-mollusca-checklist:taxon:2929b2b3de5bcae7dbd4edccef8c53b0	alien-mollusca-checklist:taxon:81d4efabef9ab3e384dfe016ee69d01f	Allopeas clavulinus (Potiez & Michaud, 1835)	Allopeas clavulinum (Potiez & Michaud, 1835)	Animalia	Mollusca	Gastropoda Cuvier, 1795	Stylommatophora A. Schmidt, 1855	Subulinidae P. Fischer & Crosse, 1877	Allopeas H. B. Baker, 1935	species	ICZN	heterotypicSynonym	""
en	http://creativecommons.org/publicdomain/zero/1.0/	Royal Belgian Institute of Natural Sciences	https://doi.org/10.15468/t13kwo	RBINS	Registry of introduced terrestrial molluscs in Belgium	alien-mollusca-checklist:taxon:b5d69fdcef7e89040bcd10ecf2ba3519	alien-mollusca-checklist:taxon:81d4efabef9ab3e384dfe016ee69d01f	Allopeas mauritianus (L. Pfeiffer, 1852	Allopeas clavulinum (Potiez & Michaud, 1835)	Animalia	Mollusca	Gastropoda Cuvier, 1795	Stylommatophora A. Schmidt, 1855	Subulinidae P. Fischer & Crosse, 1877	Allopeas H. B. Baker, 1935	species	ICZN	heterotypicSynonym	""
en	http://creativecommons.org/publicdomain/zero/1.0/	Royal Belgian Institute of Natural Sciences	https://doi.org/10.15468/t13kwo	RBINS	Registry of introduced terrestrial molluscs in Belgium	alien-mollusca-checklist:taxon:d472da65d16db2cf6cc13a318a4346b7	alien-mollusca-checklist:taxon:81d4efabef9ab3e384dfe016ee69d01f	Lamellaxis clavulinus (Potiez & Michaud, 1835)	Allopeas clavulinum (Potiez & Michaud, 1835)	Animalia	Mollusca	Gastropoda Cuvier, 1795	Stylommatophora A. Schmidt, 1855	Subulinidae P. Fischer & Crosse, 1877	Allopeas H. B. Baker, 1935	species	ICZN	heterotypicSynonym	""
en	http://creativecommons.org/publicdomain/zero/1.0/	Royal Belgian Institute of Natural Sciences	https://doi.org/10.15468/t13kwo	RBINS	Registry of introduced terrestrial molluscs in Belgium	alien-mollusca-checklist:taxon:08a2ae149a669973dd983c39eca37fc2	alien-mollusca-checklist:taxon:7ecbd23986aa59aefd50154ef9f4fd1e	Limax valentianus A. Férussac, 1822	Ambigolimax valentianus (A. Férussac, 1822)	Animalia	Mollusca	Gastropoda Cuvier, 1795	Stylommatophora A. Schmidt, 1855	Limacidae Lamarck, 1801	Ambigolimax Pollonera, 1887	species	ICZN	homotypicSynonym	""
en	http://creativecommons.org/publicdomain/zero/1.0/	Royal Belgian Institute of Natural Sciences	https://doi.org/10.15468/t13kwo	RBINS	Registry of introduced terrestrial molluscs in Belgium	alien-mollusca-checklist:taxon:4ec6eb9f0d1c719931b55939d0ac694f	alien-mollusca-checklist:taxon:7ecbd23986aa59aefd50154ef9f4fd1e	Limax poirieri J. Mabille, 1883	Ambigolimax valentianus (A. Férussac, 1822)	Animalia	Mollusca	Gastropoda Cuvier, 1795	Stylommatophora A. Schmidt, 1855	Limacidae Lamarck, 1801	Ambigolimax Pollonera, 1887	species	ICZN	heterotypicSynonym	""
