scientific_name,shortref,reference
"Allopeas clavulinum (Potiez & Michaud, 1835)",Bank & Menkhorst (2008),"Bank, R.A. & Menkhorst, H.P.M.G. 2008. Notes on the nomenclature of some land- and freshwater molluscs of the Seychelles, with consequences for taxa from Africa, Madagascar, India, the Philippines, Jamaica, and Europe. – Basteria 72: 93-110."
"Allopeas clavulinum (Potiez & Michaud, 1835)",Keppens & Dhondt (2007),"Keppens, M. & Dhondt, K. 2007. De malacofauna van de tropische Victoriakas van de plantentuin van de universiteit Gent (België). – Gloria Maris 46: 29-40."
"Ambigolimax valentianus (A. Férussac, 1822)",De Wilde et al. (1986),"De Wilde, J.J., Marquet, R. & Van Goethem, J.L. 1986. Voorlopige atlas van de landslakken van België – Atlas provisoire des gastéropodes terrestres de la Belgique. – Published by the Royal Belgian Institute of Natural Sciences, Brussels, 285 pp."
"Ambigolimax valentianus (A. Férussac, 1822)",Van Goethem (1976),"Van Goethem, J.L. 1976. Contribution à l'étude de Lehmannia valentiana (de Férussac, 1821) (Mollusca, Pulmonata, Limacidae). – Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie, 51(5): 1-14."
"Arion vulgaris Moquin-Tandon, 1855",Balashov (2018),"Balashov, I. 2018. Case 3685 – Arion vulgaris Moquin-Tandon, 1855 (Gastropoda, Stylommatophora, Arionidae): proposed validation of the specific name as available. – The Bulletin of Zoological Nomenclature 75: 12-15."
"Arion vulgaris Moquin-Tandon, 1855",DAISIE (2009),DAISIE 2009. Handbook of alien species in Europe. Springer.
"Arion vulgaris Moquin-Tandon, 1855",Moens (1981),"Moens, R. 1981. Le problème des limaces dans la protection des végétaux. – Agricontact 117: 1-6."
"Arion vulgaris Moquin-Tandon, 1855",Pfenninger et al. (2014),"Pfenninger, M., Weigand, A., Balint, M. & Klussmann-Kolb, A. 2014. Misperceived invasion: the Lusitanian slug (Arion lusitanicus auct. non-Mabille or Arion vulgaris Moquin-Tandon 1855) is native to Central Europe. – Evolutionary Applications 7: 702-713."
"Arion vulgaris Moquin-Tandon, 1855",Risch & Backeljau (1989),"Risch, P. & Backeljau, T. 1989. On the occurrence of Arion lusitanicus Mabille, 1868 in Belgium (Mollusca: Pulmonata). – Annales de la Société Royale Zoologique de Belgique 118: 25-38."
"Arion vulgaris Moquin-Tandon, 1855",Van Goethem & Backeljau (2002),"Van Goethem, J.L. & Backeljau, T. 2002. Recent invasions of terrestrial slugs in Belgium (Mollusca Gastropoda). – Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie, 72 Supplement: 67-70."
"Arion vulgaris Moquin-Tandon, 1855",Zemanova et al. (2016),"Zemanova, M.A., Knop, E. & Heckel, G. 2016. Phylogeographic past and invasive presence of Arion pest slugs in Europe. – Molecular Ecology 25: 5747-5764."
"Boettgerilla pallens Simroth, 1912",De wilde et al. (1983a),"De Wilde, J.J., Van Goethem, J.L. & Marquet, R. 1983a. Over de verspreiding, de uitbreiding en de oecologie van Boettgerilla pallens Simroth, 1912 in België. – Studiedocumenten van het KBIN 12: 1-31."
"Boettgerilla pallens Simroth, 1912",De wilde et al. (1983b),"De Wilde, J.J., Van Goethem, J. L. & Marquet, R. 1983b. Sur la distribution, l'extension et I'écologie de Boetgerilla pallens S 1912 en Belgique. – Documents de travail de I'IRScNB 13: 1-31."
"Boettgerilla pallens Simroth, 1912",De Wilde et al. (1986),"De Wilde, J.J., Van Goethem, J.L. & Marquet, R. 1986. Distribution and dispersal of Boettgerilla pallens Simroth, 1912 in Belgium (Gastropoda, Pulmonata, Boettgerillidae). – In: Pintér, L. (éd.), Proceedings of the 8th International Malacological Congress, Budapest 1983, 63-68."
"Boettgerilla pallens Simroth, 1912",De Zuttere et al. (1972),"De Zuttere, P., Lambert, M. & Schaeck, L. 1972. Un naturaliste à Reinhardstein (Robertville). – Les Naturalistes Belges 53(3): 129-137."
"Boettgerilla pallens Simroth, 1912",Lambert (1971),"Lambert, M. 1971. Camp du Mont Rigi – Récolte malacologique. – Découvre! 1(4): 29-34."
"Boettgerilla pallens Simroth, 1912",Lambert (1972),"Lambert, M. 1972. Deuxième camp de vacances de la S.N.B.W. – Quelques mollusques de la Vallée de la Semois. – Découvre! 2(4): 28-36."
"Boettgerilla pallens Simroth, 1912",Meijer (1968),"Meijer, T. 1968. Boettgerilla vermiformis Wictor [sic]. – De Kreukel 4(6): 6."
"Boettgerilla pallens Simroth, 1912",Schmid (1969),"Schmid, G. 1969. Boettgerilla vermiformis auch in Frankreich und Belgien. – Mitteilungen de Deutschen Malakozoologischen Gesellschaft 2(13): 20-21."
"Boettgerilla pallens Simroth, 1912",Van Goethem (1972),"Van Goethem, J.L. 1972. Contribution a l'étude de Boettgerilla vermiformis Wiktor, 1959 (Mollusca Pulmonata). – Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie, 48(14): 1-16."
"Candidula intersecta (Poiret, 1801)",Adam (1943),"Adam, W. 1943. Notes sur les gastéropodes. XIII. – Sur quelques espèces nouvelles ou rares pour la Belgique. – Mededeelingen van het Koninklijk Natuurhistorisch Museum van België 19(11): 1-16."
"Candidula intersecta (Poiret, 1801)",Adam (1947a),"Adam, W. 1947a. Notes sur les gastéropodes. XV. – Recherches sur la faune malacologique des dunes littorales de la Belgique. – Mededeelingen van het Koninklijk Natuurhistorisch Museum van België 23(27): 1-26."
"Candidula intersecta (Poiret, 1801)",Adam (1947b),"Adam, W. 1947b. Révision des mollusques de la Belgique. I. Mollusques terrestres et dulcicoles. – Verhandelingen van het Koninklijk Natuurhistorisch Museum van België 106: 1-298."
"Candidula intersecta (Poiret, 1801)",Devriese et al. (2004),"Devriese, H., Vercoutere, B. & Van Loen, H. 2004. Hoofdstuk 018. Landslakken. In: Provoost, S. & Bonte, D. (Eds) Levende duinen: een overzicht van de biodiversiteit aan de Vlaamse kust. – Mededelingen van het Instituut voor Natuurbehoud 22: 345-365."
"Candidula intersecta (Poiret, 1801)",De wilde et al. (1986),"De Wilde, J.J., Marquet, R. & Van Goethem, J.L. 1986. Voorlopige atlas van de landslakken van België – Atlas provisoire des gastéropodes terrestres de la Belgique. – Published by the Royal Belgian Institute of Natural Sciences, Brussels, 285 pp."
"Candidula intersecta (Poiret, 1801)",Dupuis (1924),"Dupuis, P. 1924. Faune malacologique de la Belgique. Note concernant Lithoglyphus naticoides de Férussac. – Annales de la Société Royale Zoologique de Belgique 27-29."
"Candidula intersecta (Poiret, 1801)",Marquet (1985),"Marquet, R. 1985. The land molluscs of the Antwerp harbour area, with a new record of Cernuella cespitum (Draparnaud, 1801) for western Europe. – Basteria 49: 3-10."
"Candidula intersecta (Poiret, 1801)",Varcoutere et al. (2002),"Vercoutere, B., Devriese, H. & Van Loen H. 2002. Slakken bijten in het zand – Veranderingen in de verspreiding van slakken in de Belgische kustduinen. – Natuur.focus 1(4): 132-136."
"Cernuella aginnica (Locard, 1882)",Devriese et al. (2004),"Devriese, H., Vercoutere, B. & Van Loen, H. 2004. Hoofdstuk 018. Landslakken. In: Provoost, S. & Bonte, D. (Eds) Levende duinen: een overzicht van de biodiversiteit aan de Vlaamse kust. – Mededelingen van het Instituut voor Natuurbehoud 22: 345-365."
"Cernuella aginnica (Locard, 1882)",Vercoutere et al. (2002),"Vercoutere, B., Devriese, H. & Van Loen, H. 2002. Slakken bijten in het zand – Veranderingen in de verspreiding van slakken in de Belgische kustduinen. – Natuur.focus 1(4): 132-136."
"Cernuella cisalpina (Rossmässler, 1837)",Adam (1947a),"Adam, W. 1947a. Notes sur les gastéropodes. XV. – Recherches sur la faune malacologique des dunes littorales de la Belgique. – Mededeelingen van het Koninklijk Natuurhistorisch Museum van België 23(27): 1-26."
"Cernuella cisalpina (Rossmässler, 1837)",Adam (1947b),"Adam, W. 1947b. Révision des mollusques de la Belgique. I. Mollusques terrestres et dulcicoles. – Verhandelingen van het Koninklijk Natuurhistorisch Museum van België 106: 1-298."
"Cernuella cisalpina (Rossmässler, 1837)",Devriese et al. (2004),"Devriese, H., Vercoutere, B. & Van Loen, H. 2004. Hoofdstuk 018. Landslakken. In: Provoost, S. & Bonte, D. (Eds) Levende duinen: een overzicht van de biodiversiteit aan de Vlaamse kust. – Mededelingen van het Instituut voor Natuurbehoud 22: 345-365."
"Cernuella cisalpina (Rossmässler, 1837)",Dewilde et al. (1986),"De Wilde, J.J., Marquet, R. & Van Goethem, J.L. 1986. Voorlopige atlas van de landslakken van België – Atlas provisoire des gastéropodes terrestres de la Belgique. – Published by the Royal Belgian Institute of Natural Sciences, Brussels, 285 pp."
"Cernuella cisalpina (Rossmässler, 1837)",Hausdorf & Sauer (2009),"Hausdorf, B. & Sauer, J. 2009. Revision of the Helicellinae of Crete (Gastropoda: Hygromiidae). – Zoological Journal of the Linnean Society 157: 373-419."
"Cernuella cisalpina (Rossmässler, 1837)",Kerney et al. (1980),"Kerney, M.P. & Cameron, R.A.D. 1980. Elsevier slakkengids. – Amsterdam/Brussel, Elsevier."
"Cernuella cisalpina (Rossmässler, 1837)",Manganelli et al. (1995),"Manganelli, G., Bodon, M., Favilll, L. & Giusti, F. 1995. Gastropoda Pu1monata. – In: Minelli, A., Ruffo,S. & La Posta, S. (Eds.), Checklist delle specie della fauna italiana, 16: 1-60. Bo1ogna"
"Cernuella cisalpina (Rossmässler, 1837)",Manganelli et al. (2005),"Manganelli, G., Salomone, N. & Giusti, F. 2005. A molecular approach to the phylogenetic relationships of the western palaearctic Helicoidea (Gastropoda: Stylommatophora). – Biological Journal of the Linnean Society 85: 501-512."
"Cernuella cisalpina (Rossmässler, 1837)",Van Goethem (1988),"Van Goethem, J.L. 1988. Nouvelle liste commentée des mollusques récents non-marins de Belgique. – Documents de travail de l'IRScNB 53: 1-69."
"Cernuella cisalpina (Rossmässler, 1837)",Welter-Schultes (2012),"Welter-Schultes, F. 2012. European non-marine molluscs, a guide for species identification. Planet Poster Editions, Göttingen."
"Cernuella neglecta (Draparnaud, 1805)",De wilde et al. (1986),"De Wilde, J.J., Marquet, R. & Van Goethem, J.L. 1986. Voorlopige atlas van de landslakken van België – Atlas provisoire des gastéropodes terrestres de la Belgique. – Published by the Royal Belgian Institute of Natural Sciences, Brussels, 285 pp."
"Cernuella neglecta (Draparnaud, 1805)",Marquet (1985),"Marquet, R. 1985. The land molluscs of the Antwerp harbour area, with a new record of Cernuella cespitum (Draparnaud, 1801) for western Europe. – Basteria 49: 3-10."
"Cernuella neglecta (Draparnaud, 1805)",Stiva (1973),"Stiva, A. 1973. Cernuella neglecta (Drap.), een nieuwe soort voor België. – Basteria 37: 29-30."
"Cernuella virgata (Da Costa, 1778)",Adam (1935),"Adam, W. 1935. Notes sur les gastéropodes. IV. – Sur la présence de Helicella virgata (Da Costa 1778) en Belgique. – Mededeelingen van het Koninklijk Natuurhistorisch Museum van België 23(27): 1-3."
