scientific_name,shortref,reference
"Cernuella virgata (Da Costa, 1778)",Adam (1947a),"Adam, W. 1947a. Notes sur les gastéropodes. XV. – Recherches sur la faune malacologique des dunes littorales de la Belgique. – Mededeelingen van het Koninklijk Natuurhistorisch Museum van België 11(38): 1-."
"Cernuella virgata (Da Costa, 1778)",Adam (1947b),"Adam, W. 1947b. Révision des mollusques de la Belgique. I. Mollusques terrestres et dulcicoles. – Verhandelingen van het Koninklijk Natuurhistorisch Museum van België 106: 1-298."
"Cernuella virgata (Da Costa, 1778)",Adam (1937),"Adam, W. & Leloup, E. 1937. Sur la présence de Helicella virgata (Da Costa) et Theba pisana (Müller) en Belgique. – Mededeelingen van het Koninklijk Natuurhistorisch Museum van België 13(10): 1-8."
"Cernuella virgata (Da Costa, 1778)",Anonymous (1867),Anonymous. 1867. Séance du 2 décembre 1866. M. Colbeau donne quelques détails sur ces mollusques d'Algérie qu'il a parqués en différents endroits. – Bulletins de la Société Malacologique de Belgique 2: XXXIV-XXXVI.
"Cernuella virgata (Da Costa, 1778)",Anonymous (1869),Anonymous. 1869. Séance du 2 mai 1869. Rapport. – M. Staes donne lecture du rapport suivant sur l'excursion faite à Nieuport par la Société. – Bulletins de la Société Malacologique de Belgique 4: XXIV-XL.
"Cernuella virgata (Da Costa, 1778)",Colbeau (1868),"Colbeau, J.J. 1868. Liste générale des mollusques vivants de la Belgique. – Mémoires de la Société Malacologique de Belgique 3: 85-111."
"Cernuella virgata (Da Costa, 1778)",De Malzine (1867),"De Malzine, F. 1867. Essai sur la faune malacologique de Belgique. – Bruxelles, Librairie Ancienne de G.-A. Van Trigt."
"Cernuella virgata (Da Costa, 1778)",Devriese et al. (2004),"Devriese, H., Vercoutere, B. & Van Loen, H. 2004. Hoofdstuk 018. Landslakken. In: Provoost, S. & Bonte, D. (Eds) Levende duinen: een overzicht van de biodiversiteit aan de Vlaamse kust. – Mededelingen van het Instituut voor Natuurbehoud 22: 345-365."
"Cernuella virgata (Da Costa, 1778)",De Wilde et al. (1986),"De Wilde, J.J., Marquet, R. & Van Goethem, J.L. 1986. Voorlopige atlas van de landslakken van België – Atlas provisoire des gastéropodes terrestres de la Belgique. – Published by the Royal Belgian Institute of Natural Sciences, Brussels, 285 pp."
"Cernuella virgata (Da Costa, 1778)",Marquet (1985),"Marquet, R. 1985. The land molluscs of the Antwerp harbour area, with a new record of Cernuella cespitum (Draparnaud, 1801) for western Europe. – Basteria 49: 3-10."
"Cernuella virgata (Da Costa, 1778)",Vercoutere et al. (2002),"Vercoutere, B., Devriese, H. & Van Loen, H. 2002. Slakken bijten in het zand – Veranderingen in de verspreiding van slakken in de Belgische kustduinen. – Natuur.focus 1(4): 132-136."
"Cochlicella acuta (O.F. Müller, 1774)",Adam (1947),"Adam, W. 1947. Notes sur les gastéropodes. XV. – Recherches sur la faune malacologique des dunes littorales de la Belgique. – Mededeelingen van het Koninklijk Natuurhistorisch Museum van België 23(27): 1-27."
"Cochlicella acuta (O.F. Müller, 1774)",Anonymous (1867),Anonymous 1867. Séance du 2 décembre 1866. Présidence de M. Adan. – Bulletins de la Société Malacologique de Belgique 2: XXXIV-XXXVI.
"Cochlicella acuta (O.F. Müller, 1774)",Anteunis (1956),"Anteunis, A. 1956. Biosociologische studie van de Belgische zeeduinen – Verband tussen de plantengroei en de Molluskenfauna. – Verhandelingen van de Koninklijke Vlaamse Academie voor Wetenschappen, Letteren en Schone Kunsten van België 54: 1-194."
"Cochlicella acuta (O.F. Müller, 1774)",Bouly de Lesdain (1911),"Bouly de Lesdain, J. 1911. Un mollusque nouveau pour la Belgique. – La Feuille des Jeunes Naturalistes 41: 51."
"Cochlicella acuta (O.F. Müller, 1774)",Colbeau (1867),"Colbeau, J. 1867. Observations sur les époques d'hibernation et d'accouplement de quelques mollusques terrestres en Belgique. – Mémoires de la Société Malacologique de Belgique 2: 29-37."
"Cochlicella acuta (O.F. Müller, 1774)",Colbeau (1868),"Colbeau, J. 1868. Liste générale des mollusques vivants de la Belgique dressée d'après les documents publiés par les auteurs. – Mémoires de la Société Malacologique de Belgique 3: 85-111."
"Cochlicella acuta (O.F. Müller, 1774)",De Smet (1983),"De Smet, W.H.O. 1983. Notes on the distribution and the shell polymorphism of Cochlicella acuta (Müller) (Gastropoda, Helicidae) in Belgium. – Biologisch Jaarboek Dodonaea 51: 23- 35."
"Cochlicella acuta (O.F. Müller, 1774)",De Smet (1985),"De Smet, W.H.O. 1985. The effect of temperature on the activity of Cochlicella acuta (Müll.) and C. ventrcosa (Drap.) (Gastropoda) under experimental conditions. – Biologisch Jaarboek Dodonaea 53: 153-161."
"Cochlicella acuta (O.F. Müller, 1774)",De Smet (1989),"De Smet, W.H.O. & Van Rompu, E.A. 1989. Survey of the distribution and shell polymorphism of Cochlicella acuta (Müller, 1774) and Theba pisana (Müller 1774) (Pulmonata, Helicidae) along the Belgian coastal dune area. – In: Wouter, K. & Baert, L. (Eds), Verhandelingen van het Symposium “Invertebraten van België”, Brussel, Koninklijk Belgisch Instituut voor Natuurwetenschappen, 119-124."
"Cochlicella acuta (O.F. Müller, 1774)",Devriese et al. (2004),"Devriese, H., Vercoutere, B. & Van Loen, H. 2004. Hoofdstuk 018. Landslakken. In: Provoost, S. & Bonte, D. (Eds) Levende duinen: een overzicht van de biodiversiteit aan de Vlaamse kust. – Mededelingen van het Instituut voor Natuurbehoud 22: 345-365."
"Cochlicella acuta (O.F. Müller, 1774)",Dupuy (1924),"Dupuy, P. 1924. Faune malacologique de Belgique – Note concernant Lithoglyphus naticoides de Férussac. – Annales de la Société Royale Zooloque de Belgique 55: 27-29."
"Cochlicella acuta (O.F. Müller, 1774)",Kickx (1830),"Kickx, J. 1830. Synopsis molluscorum Brabantiae. Lovanii."
"Cochlicella acuta (O.F. Müller, 1774)",Van den Ende (1828),"Van den Ende, W.P. 1828. Lijst van de Nederlandsche ongewervelde dieren welke niet in de Nederlandsche fauna of derzelver supplementen gevonden worden. – Natuurkundige Verhandelingen van de Hollandsche Maatschappij der Wetenschappen te Haarlem 16: 134 & 301."
"Cochlicella acuta (O.F. Müller, 1774)",Vercoutere et al. (2002),"Vercoutere, B., Devriese, H. & Van Loen, H. 2002. Slakken bijten in het zand – Veranderingen in de verspreiding van slakken in de Belgische kustduinen. – Natuur.focus 1(4): 132-136."
"Cochlicella barbara (Linnaeus, 1758)",Adam (1947),"Adam, W. 1947. Notes sur les gastéropodes. XV. – Recherches sur la faune malacologique des dunes littorales de la Belgique. – Mededeelingen van het Koninklijk Natuurhistorisch Museum van België 23(27): 1-27."
"Cochlicella barbara (Linnaeus, 1758)",Bauwens (2016),"Bauwens, F. 2016. Excursieverslag Slak-In-Du van 08 juni 2015 in het militair domein te Lombardsijde. – Gloria Maris 54: 126-130."
"Cochlicella barbara (Linnaeus, 1758)",Dumoulin (1988),"Dumoulin, E. 1988. Cochlicella barbara (Linnaeus, 1758) herontdekt in België en nieuw voor Nederland (Gastropoda Pulmonata: Helicidae). – Basteria 52: 117-120."
"Cochlostoma septemspirale (Razoumowsky, 1789)",Adam (1937),"Adam, W. 1937. Notes sur les gastéropodes. V. – Sur la découverte de Cochlostoma septemspirale (Razoumowsky, 1789) et Helicella cespitum (Draparnaud, 1801) en Belgique. – Mededeelingen van het Koninklijk Natuurhistorisch Museum van België 13(11): 1-4."
"Cochlostoma septemspirale (Razoumowsky, 1789)",Adam (1947),"Adam, W. 1947. Révision des mollusques de la Belgique. I. Mollusques terrestres et dulcicoles. – Verhandelingen van het Koninklijk Natuurhistorisch Museum van België 106: 1-298."
"Deroceras invadens Reise, Hutchinson, Schunack & Schlitt, 2011",Hutchinson e tal. (2014),"Hutchinson, J.M.C., Reise, H. & Robinson, D.G. 2014. A biography of an invasive terrestrial slug: the spread, distribution and habitat of Deroceras invadens. – NeoBiota 23: 17-64."
"Deroceras invadens Reise, Hutchinson, Schunack & Schlitt, 2011",Reise et al. (2011),"Reise, H., Hutchinson, J.M.C., Schunack, S. & Schlitt, B. 2011. Deroceras panormitanum and congeners from Malta and Sicily, with a redescription of the widespread pest slug as Deroceras invadens n. sp. – Folia Malacologica 19: 201-223."
"Deroceras invadens Reise, Hutchinson, Schunack & Schlitt, 2011",Van Goethem (1974),"Van Goethem, J.L. 1974. Sur la présence en Belgique de Deroceras caruanae (Pollonera, 1891) et de Deroceras agreste (Linnaeus, 1758) (Mollusca, Pulmonata, Limacidae). – Bulletin van het Koninklijk Belgisch Institutt voor Natuurwetenschappen, Biologie, 50(2): 1-21."
"Deroceras invadens Reise, Hutchinson, Schunack & Schlitt, 2011",Van Goethem & Backeljau (2002),"Van Goethem, J.L. & Backeljau, T. 2002. Recent invasions of terrestrial slugs in Belgium (Mollusca Gastropoda). – Bulletin van het Koninklijk Belgisch Instituut voor Natuurwetenschappen, Biologie, 72 Supplement: 67-70."
"Deroceras invadens Reise, Hutchinson, Schunack & Schlitt, 2011",Van Goethem et al. (1984),"Van Goethem, J.L., De Wilde, J.J. & Marquet, R. 1984. Over de verspreiding in België van de naaktslakken van het genus Deroceras Rafinesque, 1820 (Mollusca, Gastropoda, Agriolimacidae). – Studiedocumenten van het KBIN 14: 1-45."
"Ferussacia folliculum (Schröter, 1784)",Anonymous (1867),Anonymous 1867. Séance du 2 décembre 1866. Présidence de M. Adan. – Bulletins de la Société Malacologique de Belgique 2: XXXIV-XXXVI.
"Ferussacia folliculum (Schröter, 1784)",Bank (2016),"Bank, R.A. 2016. Fauna Europaea Project. Checklist of the land and freshwater Gastropoda of Europe. Last update: November 14th, 2016."
"Ferussacia folliculum (Schröter, 1784)",Bank & Neubert (2017),"Bank, R.A. & Neubert, E. 2017. MolluscaBase. Checklist of the land and freshwater Gastropoda of Europe. Last update: July 16th, 2017."
"Ferussacia folliculum (Schröter, 1784)",Sablon et al. (2017),"Sablon, R., Hansen, M. & Backeljau, T. 2017. First record of the landsnail Ferussacia folliculum (Schröter, 1784) in Belgium (Mollusca: Gastropoda: Ferussaciidae). – Belgian Journal of Zoology 147: 77-80. https://doi.org/10.26496/bjz.2017.6"
"Ferussacia folliculum (Schröter, 1784)",Welter-Schultes (2012),"Welter-Schultes, F. 2012. European non-marine molluscs, a guide for species identification. Planet Poster Editions, Göttingen."
"Gittenbergia sororcula (Benoit, 1859)",Mienis (2003),"Mienis, H.K. 2003. Komt Gittenbergia sororcula in Nederland of België voor? Met een verzoek om soorten uit kassen en kwekerijen op te nemen in de lijst van in Nederland en België voorkomende weekdieren. – Spirula 330: 6-7. http://natuurtijdschriften.nl/download?type=document&docid=595540"
"Granaria frumentum (Draparnaud, 1801)",Adam (1947),"Adam, W. 1947. Révision des mollusques de la Belgique. I. Mollusques terrestres et dulcicoles. – Verhandelingen van het Koninklijk Natuurhistorisch Museum van België 106: 1-298."
"Granaria frumentum (Draparnaud, 1801)",Adam (1960),"Adam, W. 1960. Faune de Belgique. Mollusques. Tome I. Mollusques terrestres et dulcicoles. – Brussels, Patrimoine de l'Institut Royal des Sciences Naturelles de Belgique, 402 pp."
"Granaria frumentum (Draparnaud, 1801)",Dupuis (1924),"Dupuis, P. 1924. Faune malacologique de Belgique. Note concernant les espèces belges de la famille des Pupillidae. – Annales de la Société Royale Zoologique de Belgique 55: 47-52."
"Granaria frumentum (Draparnaud, 1801)",Falkner et al. (2002),"Falkner, G., Ripken, T.E.J. & Falkner, M. 2002. Mollusques continentaux de France. Liste de Référence annotée et Bibliographie. - Patrimoines Naturels 52: 1-350."
"Granaria frumentum (Draparnaud, 1801)",Pilsbry (1918),"Pilsbry, H.A. 1918. Manual of Conchology. XXIV. Pupillidae (Gastrocoptidae). Part 96: 257-390. – Published by the Conchological Department, Academy of Natural Sciences of Philadelphia."
"Granaria frumentum (Draparnaud, 1801)",Sevo (1974),"Sevo, S. 1974. Note sur sa répartition en Belgique de trois mollusques gastéropodes terrestres peu connus: Acme inchoata (prosobranches, Acmidae), Abida frumentum (stylommatophores, Vertiginidae) et Alexia denticulata (basommatophores, Ellobiidae). – Malacological Review 7: 1-14."
"Granaria frumentum (Draparnaud, 1801)",Van Goethem (1984a),"Van Goethem, J.L. 1984a. Lijst van de recente niet-mariene mollusken van België. – Studiedocumenten van het KBIN 16: 1-35."
"Granaria frumentum (Draparnaud, 1801)",Van Goethem (1984b),"Van Goethem, J.L. 1984b. Liste commentée des mollusques récents non-marins de Belgique. – Documents de travail de 1'IRScNB 17: 1-38."
"Granaria frumentum (Draparnaud, 1801)",Van Goethem (1987),"Van Goethem, J.L. 1987. Nieuwe naamlijst met aantekeningen van de recente niet-mariene weekdieren van België. – Studiedocumenten van het KBIN 44: 1-65."
"Granaria frumentum (Draparnaud, 1801)",Van Goethem (1988),"Van Goethem, J.L. 1988. Nouvelle liste commentée des mollusques récents non-marins de Belgique. – Documents de travail de l'IRScNB 53: 1-69."
"Hawaiia minuscula (Binney, 1841)",Keppens & Dhondt (2007),"Keppens, M. & Dhondt, K. 2007. De malacofauna van de tropische Victoriakas van de plantentuin van de universiteit Gent (België). – Gloria Maris 46: 29-40."
"Hygromia cinctella (Draparnaud, 1801)",Delcourt & Vilvens (2017),"Delcourt, J. & Vilvens, C. 2017. L'invasive hélice carénée Hygromia cinctella (Draparnaud, 1801) (Gastropoda: Hygromiidae) progresse en Wallonie, Belgique. – Novapex 18: 111-118."
"Hygromia cinctella (Draparnaud, 1801)",Harfield & Brokenshire (2009),"Harfield, D. & Brokenshire, A. 2009. Hygromia cinctella (Draparnaud, 1801) still on the move. – Mollusc World 21: 26."
"Hygromia cinctella (Draparnaud, 1801)",Jacobs & Janssen (2009),"Jacobs, F. & Janssen, M.H. 2009. Hygromia cinctella (Draparnaud, 1801) (Gastropoda: Hygromiidae): een nieuwe soort voor de Belgische fauna. – Gloria Maris 48: 125-128."
"Hygromia cinctella (Draparnaud, 1801)",Keulen & Majoor (2012),"Keulen, S. & Majoor, G. 2012. De Look-glansslak, Oxychilus alliarius (J.S. Miller, 1822) verovert Zuid-Limburg. – Spirula 386: 76-78."
"Hygromia cinctella (Draparnaud, 1801)",Van den Neucker & Scheers (2014),"Van den Neucker, T. & Scheers, K. 2014. The recent colonisation and rapid spread in Belgium of the alien girdled snail Hygromia cinctella (Gastropoda: Hygromiidae). – Journal of Conchology 41: 779-780."
"Massylaea vermiculata (O.F. Müller, 1774)",Adriaens (2000),"Adrians, P. 2000. Carnet Rose. Nous sommes heureux de vous annoncer la naissance de 65 escargots de l'espèce Eobania vermiculata (O.F. Müller 1774). – l'Escargot Observateur 7: 2."
"Massylaea vermiculata (O.F. Müller, 1774)",Anonymous (2001),"Anonymous 2001. Adrians P. - Naissance de 65 Eobania vermiculata Müller, 1774 en Belgique. – Bulletin BEDIM 10(1): 27. [citing the note by Adrians (2000)]."
"Massylaea vermiculata (O.F. Müller, 1774)",Bouaziz-Yahiatene et al. (2017),"Bouaziz-Yahiatene, H., Pfarrer, B., Medjdoub-Bensaad, F. & Neubert, E. 2017. Revision of Massylaea Möllendorff, 1898 (Stylommatophora, Helicidae). – ZooKeys 694: 109-133."
"Massylaea vermiculata (O.F. Müller, 1774)",Mienis (2011),"Mienis, H.K. 2011. Een vondst van Eobania vermiculata in Purmerend. – Spirula 378: 5-6. [citing the note by Adrians (2000)]."
"Massylaea vermiculata (O.F. Müller, 1774)",Ronsmans & Van den Neucker (2016),"Ronsmans, J. & Van den Neucker, T. 2016. A persistent population of the chocolate-band snail Eobania vermiculata (Gastropoda: Helicidae) in Belgium. – Belgian Journal of Zoology 146: 66-68. http://biblio.naturalsciences.be/associated_publications/bjz/146-1/bjz_146_1_ronsmans-p66-68.pdf"
"Paralaoma servilis (Shuttleworth, 1852)",Van den Neucker & Ronsmans (2015),"Van den Neucker, T. & Ronsmans, J. (2015) The globally invasive Paralaoma servilis (Gastropoda: Punctidae) reported for the first time in Belgium. – Journal of Conchology 42: 95-96."
"Tandonia budapestensis (Hazay, 1880)",Ronsmans (2014),"Ronsmans, J. 2014. The exotic snail Subulina striatella (Rang, 1831) (Gastropoda, Achatinoidea, Subulinidae) in the Botanic Garden in Meise, Belgium. – Gloria Maris 53: 67-69."
"Tandonia budapestensis (Hazay, 1880)",Adam (1944),"Adam, W. 1944. Notes sur les gastéropodes. XIV. – Espèces nouvelles ou rares pour la Belgique. – Mededeelingen van het Koninklijk Natuurhistorisch Museum van België 20(9): 1-8."
"Tandonia budapestensis (Hazay, 1880)",Adam (1960a),"Adam, W. 1960a. Faune de Belgique – Mollusques Tome I. Mollusques terrestres et dulcicoles. Bruxelles, Patrimoine de l'Institut royal des Sciences naturelles de Belgique."
"Tandonia budapestensis (Hazay, 1880)",Adam (1960b),"Adam, W. 1960b. Les mollusques terrestres et dulcicoles de la Belgique, quelques additions et rectifications. – Mededelingen van het Koninklijk Belgisch Instituut voor Natuurwetenschappen 36(22): 1-10."
