scientific_name,synonym,X3,X4
"Cernuella neglecta (Draparnaud, 1805)","Cernuella ?trepidulina Pollonera, 1892",,
"Cernuella virgata (Da Costa, 1778)","Cernuella aglaometa J. Mabille, 1882",,
"Cernuella virgata (Da Costa, 1778)","Cernuella alburni Kobelt, 1907",,
"Cernuella virgata (Da Costa, 1778)","Cernuella alluvionum Servain, 1880;",,
"Cernuella virgata (Da Costa, 1778)","Cernuella amblia Westerlund, 1893",,
"Cernuella virgata (Da Costa, 1778)","Cernuella ?augustiniana Bourguignat, 1880",,
"Cernuella virgata (Da Costa, 1778)","Cernuella ?balteata Pollonera, 1892",,
"Cernuella virgata (Da Costa, 1778)","Cernuella blasi Servain, 1880",,
"Cernuella virgata (Da Costa, 1778)","Cernuella canariensis Mousson, 1872",,
"Cernuella virgata (Da Costa, 1778)","Cernuella canovasiana Servain, 1880",,
"Cernuella virgata (Da Costa, 1778)","Cernuella castroiana Servain, 1880",,
"Cernuella virgata (Da Costa, 1778)","Cernuella clitumni Kobelt, 1907",,
"Cernuella virgata (Da Costa, 1778)","Cernuella coneri Kobelt, 1907",,
"Cernuella virgata (Da Costa, 1778)","Cernuella dendrophila Mabille, 1883",,
"Cernuella virgata (Da Costa, 1778)","Cernuella edetanorum Servain, 1880",,
"Cernuella virgata (Da Costa, 1778)","Cernuella finitimus Locard, 1899",,
"Cernuella virgata (Da Costa, 1778)","Cernuella genuensis Pollonera, 1892",,
"Cernuella virgata (Da Costa, 1778)","Cernuella grannonensis Bourguignat, 1880",,
"Cernuella virgata (Da Costa, 1778)","Cernuella herbicola Mousson, 1872",,
"Cernuella virgata (Da Costa, 1778)","Cernuella hydruntina Kobelt, 1884",,
"Cernuella virgata (Da Costa, 1778)","Cernuella inflata Westerlund, 1889",,
"Cernuella virgata (Da Costa, 1778)","Cernuella janalis Pollonera, 1892",,
"Cernuella virgata (Da Costa, 1778)","Cernuella lauriensis Kobelt, 1907",,
"Cernuella virgata (Da Costa, 1778)","Cernuella lauta R.T. Lowe, 1831",,
"Cernuella virgata (Da Costa, 1778)","Cernuella lineata Olivi, 1792",,
"Cernuella virgata (Da Costa, 1778)","Cernuella limarella var. Major Pollonera, 1892",,
"Cernuella virgata (Da Costa, 1778)","Cernuella imarella var. maxima Pollonera, 1882",,
"Cernuella virgata (Da Costa, 1778)","Cernuella luteola Servain, 1880",,
"Cernuella virgata (Da Costa, 1778)","Cernuella lutulenta Locard, 1899",,
"Cernuella virgata (Da Costa, 1778)","Cernuella maritima Draparnaud, 1805",,
"Cernuella virgata (Da Costa, 1778)","Cernuella mendranoi Servain, 1880",,
"Cernuella virgata (Da Costa, 1778)","Cernuella messapiensis Kobelt, 1907",,
"Cernuella virgata (Da Costa, 1778)","Cernuella moranensis Kobelt, 1907",,
"Cernuella virgata (Da Costa, 1778)","Cernuella neptunensis Kobelt, 1907",,
"Cernuella virgata (Da Costa, 1778)","Cernuella parva L. Pfeiffer, 1848",,
"Cernuella virgata (Da Costa, 1778)","Cernuella peninsularis Kobelt, 1907",,
"Cernuella virgata (Da Costa, 1778)","Cernuella phryganophila Mabille, 1882",,
"Cernuella virgata (Da Costa, 1778)","Cernuella pistoriana Pollonera, 1892",,
"Cernuella virgata (Da Costa, 1778)","Cernuella pompeiana Locard, 1882;",,
"Cernuella virgata (Da Costa, 1778)","Cernuella rufolabris L. Pfeiffer, 1856",,
"Cernuella virgata (Da Costa, 1778)","Cernuella saprensis Kobelt, 1907",,
"Cernuella virgata (Da Costa, 1778)","Cernuella senensis Pollonera, 1892",,
"Cernuella virgata (Da Costa, 1778)","Cernuella solanoi Servain, 1880",,
"Cernuella virgata (Da Costa, 1778)","Cernuella subluteata Servain, 1880",,
"Cernuella virgata (Da Costa, 1778)","Cernuella subneglecta Bourguignat, 1860",,
"Cernuella virgata (Da Costa, 1778)","Cernuella sybaritica Kobelt, 1907",,
"Cernuella virgata (Da Costa, 1778)","Cernuella terrosa Locard, 1899",,
"Cernuella virgata (Da Costa, 1778)","Cernuella tumida Westerlund, 1889",,
"Cernuella virgata (Da Costa, 1778)","Cernuella turgida Blanc & Westerlund, 1889",,
"Cernuella virgata (Da Costa, 1778)","Cernuella ?tuta Paulucci, 1882",,
"Cernuella virgata (Da Costa, 1778)","Cernuella uberta Locard, 1899",,
"Cernuella virgata (Da Costa, 1778)","Cernuella variabilis Draparnaud, 1801",,
"Cernuella virgata (Da Costa, 1778)","Cernuella variata Pini, 1885",,
"Cernuella virgata (Da Costa, 1778)","Cernuella virginea Kobelt, 1907",,
